targetB,Brand_name
ENSG00000065361,Truseltiq
ENSG00000068078,Truseltiq
ENSG00000077782,Truseltiq
ENSG00000096384,Truseltiq
ENSG00000099956,Truseltiq
ENSG00000102145,Truseltiq
ENSG00000106462,Truseltiq
ENSG00000107485,Truseltiq
ENSG00000123388,Truseltiq
ENSG00000124181,Truseltiq
ENSG00000124762,Truseltiq
ENSG00000127914,Truseltiq
ENSG00000136997,Truseltiq
ENSG00000139219,Truseltiq
ENSG00000145675,Truseltiq
ENSG00000147548,Truseltiq
ENSG00000160867,Truseltiq
ENSG00000165731,Truseltiq
ENSG00000168036,Truseltiq
ENSG00000168769,Truseltiq
ENSG00000177606,Truseltiq
ENSG00000178104,Truseltiq
ENSG00000179094,Truseltiq
ENSG00000179295,Truseltiq
ENSG00000179348,Truseltiq
ENSG00000184937,Truseltiq
ENSG00000197157,Truseltiq
ENSG00000065361,Piqray
ENSG00000145675,Piqray
ENSG00000067560,Lumakras
ENSG00000132155,Lumakras
ENSG00000067560,Krazati
ENSG00000132155,Krazati
ENSG00000002834,Balversa
ENSG00000039068,Balversa
ENSG00000066468,Balversa
ENSG00000077782,Balversa
ENSG00000096384,Balversa
ENSG00000099956,Balversa
ENSG00000102145,Balversa
ENSG00000106462,Balversa
ENSG00000107485,Balversa
ENSG00000123388,Balversa
ENSG00000124181,Balversa
ENSG00000124762,Balversa
ENSG00000127914,Balversa
ENSG00000136997,Balversa
ENSG00000139219,Balversa
ENSG00000145675,Balversa
ENSG00000147548,Balversa
ENSG00000160867,Balversa
ENSG00000165731,Balversa
ENSG00000168036,Balversa
ENSG00000168769,Balversa
ENSG00000177606,Balversa
ENSG00000178104,Balversa
ENSG00000179094,Balversa
ENSG00000179295,Balversa
ENSG00000179348,Balversa
ENSG00000184937,Balversa
ENSG00000197157,Balversa
ENSG00000091831,Zykadia
ENSG00000096384,Zykadia
ENSG00000104408,Zykadia
ENSG00000107882,Zykadia
ENSG00000127329,Zykadia
ENSG00000135679,Zykadia
ENSG00000141510,Zykadia
ENSG00000147889,Zykadia
ENSG00000164362,Zykadia
ENSG00000181163,Zykadia
ENSG00000198900,Zykadia
ENSG00000005339,Nubeqa
ENSG00000010671,Nubeqa
ENSG00000084676,Nubeqa
ENSG00000089280,Nubeqa
ENSG00000097007,Nubeqa
ENSG00000101213,Nubeqa
ENSG00000106462,Nubeqa
ENSG00000109685,Nubeqa
ENSG00000110092,Nubeqa
ENSG00000118058,Nubeqa
ENSG00000124181,Nubeqa
ENSG00000129514,Nubeqa
ENSG00000136504,Nubeqa
ENSG00000136826,Nubeqa
ENSG00000140396,Nubeqa
ENSG00000141027,Nubeqa
ENSG00000141867,Nubeqa
ENSG00000141968,Nubeqa
ENSG00000143322,Nubeqa
ENSG00000145675,Nubeqa
ENSG00000157554,Nubeqa
ENSG00000159388,Nubeqa
ENSG00000165025,Nubeqa
ENSG00000167548,Nubeqa
ENSG00000168036,Nubeqa
